id,speakers,previous,tokens,tags
1162,TL,ja das ist der Sven Operator 2,ja hab ich verstanden,2
1163,TL,ja hab ich verstanden,Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst,2
1164,UGV-1,Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst,ja ist verstanden,2
1165,UGV-2,ja ist verstanden,ja Operator 2 hat verstanden,2
1166,UAV,ja Operator 2 hat verstanden,UAV Operator verstanden,2
1167,TL,UAV Operator verstanden,so UAV one über den Benno kommen,4
1168,UAV,so UAV one über den Benno kommen,UAV Operator hört,5
1169,TL,UAV Operator hört,ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst,1
1170,TL,ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst,von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera,1
1171,UAV,von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera,ja das habe ich verstanden,7
1172,TL,ja das habe ich verstanden,Operator 2 für Benno kommen,4
1173,UGV-2,Operator 2 für Benno kommen,ja Operator 2 hört Benno,5
1174,TL,ja Operator 2 hört Benno,du hast den Roboter mit der Infrarot-Kamera ist das richtig?,3
1175,UGV-2,du hast den Roboter mit der Infrarot-Kamera ist das richtig?,negativ ich hab den Roboter mit dem Arm dort ist keine Infrarot-Kamera vorne,0
1176,TL,negativ ich hab den Roboter mit dem Arm dort ist keine Infrarot-Kamera vorne,verstanden,2
1177,TL,verstanden,Operator 1 für Benno kommen,4
1178,UGV-1,Operator 1 für Benno kommen,ja der Operator 1 hört,5
1179,TL,ja der Operator 1 hört,Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung,1
1180,TL,Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,1
1181,UGV-1,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,ja 50 meter geradeaus links rein und erkunde nach Menschen,7
1182,TL,ja 50 meter geradeaus links rein und erkunde nach Menschen,das ist korrekt,2
1183,TL,das ist korrekt,Operator 1 für Benno,4
1184,UGV-1,Operator 1 für Benno,hier der Operator 1,5
1185,TL,hier der Operator 1,mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können,1
1186,UGV-1,mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können,ja ist verstanden ich mach hier Fotos,7
1187,UAV,ja ist verstanden ich mach hier Fotos,Benno für UAV Operator,4
1188,TL,Benno für UAV Operator,Augenblick,6
1189,UGV-1,Augenblick,der Teamleader von Operator 1 kommen,4
1190,TL,der Teamleader von Operator 1 kommen,UAV 1 kommen,5
1191,UGV-1,UAV 1 kommen,ja ich hab gerade ein Foto geschossen hier sind zwei Treppen auf der linken Seite allerdings kein Angriffstrupp,2
1192,UGV-1,ja ich hab gerade ein Foto geschossen hier sind zwei Treppen auf der linken Seite allerdings kein Angriffstrupp,Rauchentwicklung weiter rechts,2
1193,UGV-1,Rauchentwicklung weiter rechts,Frage: zur Rauchentwicklung vorfahren?,3
1194,TL,Frage: zur Rauchentwicklung vorfahren?,Augenblick,6
1195,TL,Augenblick,Operator 1 für Teamleiter kommen,4
1196,UGV-1,Operator 1 für Teamleiter kommen,ja hier Operator 1,5
1197,TL,ja hier Operator 1,der Angriffstrupp steht an der Rauchentwicklung,2
1198,TL,der Angriffstrupp steht an der Rauchentwicklung,du sollst zur Rauchentwicklung fahren,1
1199,UGV-1,du sollst zur Rauchentwicklung fahren,ja ich fahr zur Rauchentwicklung,7
1200,TL,ja ich fahr zur Rauchentwicklung,UAV Operator für Teamleader kommen,4
1201,TL,UAV Operator für Teamleader kommen,Lena für Benno?,4
1202,UAV,Lena für Benno?,Lena hört,5
1203,TL,Lena hört,du hattest mich angesprochen?,3
1204,UAV,du hattest mich angesprochen?,ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt,2
1205,TL,ja ich hätte jetzt einmal ein Luftbild von oben einmal eins zu Übersicht das schicke ich dir jetzt,verstanden,2
1206,TL,verstanden,Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast?,1
1207,UGV-1,Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast?,ja das erste Bild hab ich dir gerade schon gesch-,2
1208,TL,ja das erste Bild hab ich dir gerade schon gesch-,Operator 1 schickst du mir das nochmal rüber,1
1209,TL,Operator 1 schickst du mir das nochmal rüber,ich habe nichts gekriegt hier,2
1210,UGV-1,ich habe nichts gekriegt hier,ja ich schicke,7
1211,UGV-1,ja ich schicke,Teamleader vom Operator 1,4
1212,TL,Teamleader vom Operator 1,ich höre,5
1213,UGV-1,ich höre,das Bild müsstest du schon haben,2
1214,TL,das Bild müsstest du schon haben,ja verstanden,2
1215,TL,ja verstanden,hab kein Bild,2
1216,UAV,hab kein Bild,Teamleiter 1 für UAV Operator,4
1217,TL,Teamleiter 1 für UAV Operator,Operator 1 für Teamleader kommen,4
1218,UGV-1,Operator 1 für Teamleader kommen,hier Operator 1,5
1219,TL,hier Operator 1,Frage: Standort Roboter?,3
1220,UGV-1,Frage: Standort Roboter?,ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum,2
1221,TL,ist gerade die erste Treppe nach oben gefahren zur Rauchentwicklung ich erkunde dort im ersten Raum,die linke Treppe oder die rechte Treppe auf dein'm Foto?,3
1222,UGV-1,die linke Treppe oder die rechte Treppe auf dein'm Foto?,die rechte Treppe wo die Rauchentwicklung zu sehen war,2
1223,TL,die rechte Treppe wo die Rauchentwicklung zu sehen war,das heißt du bist da rechts abgebogen in den Raum rein richtig?,3
1224,UGV-1,das heißt du bist da rechts abgebogen in den Raum rein richtig?,das ist richtig,7
1225,UGV-1,das ist richtig,und da bin ich gerade am Anfangen,2
1226,TL,und da bin ich gerade am Anfangen,ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst,2
1227,UGV-1,ja - Auftrag war sich mit dem Angriffstrupp zu treffen zunächst,ja Angriffstrupp war nicht vor Ort,2
1228,TL,ja Angriffstrupp war nicht vor Ort,ja dann möchte ich dort eine Meldung haben,1
1229,TL,ja dann möchte ich dort eine Meldung haben,dann kümmere ich mich darum,2
1230,TL,dann kümmere ich mich darum,Augenblick,6
1231,TL,Augenblick,UAV Operator für Teamleader kommen,4
1232,UAV,UAV Operator für Teamleader kommen,UAV Operator hört,5
1233,TL,UAV Operator hört,du hattest mich gerufen?,3
1234,UAV,du hattest mich gerufen?,ja,7
1235,UAV,ja,wir haben einmal den Akku gewechselt bis jetzt noch kein Rauch festzustellen aber wir haben eine Person gefunden,2
1236,UAV,wir haben einmal den Akku gewechselt bis jetzt noch kein Rauch festzustellen aber wir haben eine Person gefunden,ich schick dir jetzt das Foto,2
1237,TL,ich schick dir jetzt das Foto,ja,7
1238,TL,ja,Könnten -,6
1239,TL,Könnten -,darauf kann ich sehen wo der Standort ist?,3
1240,UAV,darauf kann ich sehen wo der Standort ist?,müsste zu erkennen sein,7
1241,UAV,müsste zu erkennen sein,ja verstanden,2
1242,UGV-1,ja verstanden,der Teamleadaer von Operator 1 kommen,4
1243,TL,der Teamleadaer von Operator 1 kommen,ich höre,5
1244,UGV-1,ich höre,also - ich bin jetzt oben im ersten Raum auch hier ist der Angriffstrupp nicht vorzufinden,2
1245,UGV-1,also - ich bin jetzt oben im ersten Raum auch hier ist der Angriffstrupp nicht vorzufinden,Frage: Raum weiter erkunden?,3
1246,TL,Frage: Raum weiter erkunden?,ja richtig,7
1247,TL,ja richtig,der Angriffstrupp musste raus,2
1248,TL,der Angriffstrupp musste raus,der hatt' keine Luft mehr den Raum weiter erkunden,2
1249,UGV-1,der hatt' keine Luft mehr den Raum weiter erkunden,ja ist verstanden,2
1250,TL,ja ist verstanden,Lena für Benno,4
1251,UAV,Lena für Benno,Lena hört,5
1252,TL,Lena hört,Lena jetzt sag mir mal genau den Standort dieser Person,3
1253,UAV,Lena jetzt sag mir mal genau den Standort dieser Person,ich schick dir eben noch zwei andere Fotos da müsstest du es besser erkennen,2
1254,UAV,ich schick dir eben noch zwei andere Fotos da müsstest du es besser erkennen,das ist könnte aber eventuell eine andere Person sein,2
1255,TL,das ist könnte aber eventuell eine andere Person sein,ja habe verstanden,2
1256,UAV,ja habe verstanden,Benno für Lena,4
1257,TL,Benno für Lena,ich höre,5
1258,UAV,ich höre,ich habe jetzt bei der zweiten Person auch eventuell Rauch gefunden,2
1259,TL,ich habe jetzt bei der zweiten Person auch eventuell Rauch gefunden,du hast mir jetzt ein weiteres Foto geschickt ist das richtig?,3
1260,UAV,du hast mir jetzt ein weiteres Foto geschickt ist das richtig?,ich habe drei geschickt,7
1261,UAV,ich habe drei geschickt,Benno für Lena,4
1262,TL,Benno für Lena,Operator 2 für Teamleader kommen,4
1263,UGV-2,Operator 2 für Teamleader kommen,Operator 2 hört,5
1264,TL,Operator 2 hört,folgenden Auftrag: den gleichen Weg nehmen wie Operator 1,1
1265,TL,folgenden Auftrag: den gleichen Weg nehmen wie Operator 1,Auftrag ist: Erkundung nach weiteren Zugangsmöglichkeiten nach Verletzten,1
1266,TL,Auftrag ist: Erkundung nach weiteren Zugangsmöglichkeiten nach Verletzten,schau auch mal wie weit die Rauchentwicklung da ausgedehnt ist,1
1267,UGV-2,schau auch mal wie weit die Rauchentwicklung da ausgedehnt ist,ja ist soweit verstanden,7
1268,UGV-1,ja ist soweit verstanden,der Teamleader von Operator 1,4
1269,TL,der Teamleader von Operator 1,ich höre,5
1270,UGV-1,ich höre,im ersten großen Raum eine Person gefunden,2
1271,TL,im ersten großen Raum eine Person gefunden,prima,2
1272,TL,prima,ich schick dir den Angriffstrupp,2
1273,TL,ich schick dir den Angriffstrupp,Operator 1 der Angriffstrupp ist unterwegs,2
1274,TL,Operator 1 der Angriffstrupp ist unterwegs,rechte Treppe hoch rechts in den Raum rein korrekt?,3
1275,UGV-1,rechte Treppe hoch rechts in den Raum rein korrekt?,ja richtig so,7
1276,TL,ja richtig so,verstanden,2
1277,UAV,verstanden,Benno für Lena,4
1278,TL,Benno für Lena,höre,5
1279,UAV,höre,ich habe Rauch gefunden und weitere Personen,2
1280,UAV,ich habe Rauch gefunden und weitere Personen,schi-,6
1281,UAV,schi-,ich versuch dir nochmal die Bilder zu schicken,2
1282,TL,ich versuch dir nochmal die Bilder zu schicken,ja verstanden,2
1283,TL,ja verstanden,bin - ich – k-,6
1284,TL,bin - ich – k-,kann da noch nichts lokalisieren auch anhand der großen Karte wo genau diese Personen sich befinden,2
1285,UAV,kann da noch nichts lokalisieren auch anhand der großen Karte wo genau diese Personen sich befinden,ja das habe ich verstanden,2
1286,TL,ja das habe ich verstanden,Operator 1 für Teamleader kommen,4
1287,UGV-1,Operator 1 für Teamleader kommen,ja ich höre dich,5
1288,TL,ja ich höre dich,hast du von der Person ein Foto gemacht und mir geschickt?,3
1289,TL,hast du von der Person ein Foto gemacht und mir geschickt?,Fo-,6
1290,UGV-1,Fo-,ja Foto gemacht habe ich,7
1291,UGV-1,ja Foto gemacht habe ich,ich weiß bloß nicht ob es angekommen ist,2
1292,TL,ich weiß bloß nicht ob es angekommen ist,ist das der Mensch der da an einem Pfeiler hockt?,3
1293,UGV-1,ist das der Mensch der da an einem Pfeiler hockt?,ganz genau,7
1294,TL,ganz genau,phantastisch,2
1295,UAV,phantastisch,Benno für Lena,4
1296,TL,Benno für Lena,ich höre Lena,5
1297,UAV,ich höre Lena,also - die Person müsste hinter dem großen Hochofen auf dem freien Weg sein,2
1298,UAV,also - die Person müsste hinter dem großen Hochofen auf dem freien Weg sein,der Akku ist jetzt leer,2
1299,UAV,der Akku ist jetzt leer,wir müssen jetzt auch landen und warten am Boden auf weitere Anweisungen,2
1300,TL,wir müssen jetzt auch landen und warten am Boden auf weitere Anweisungen,ja verstanden,2
1301,TL,ja verstanden,ist das welcher Hochofen ist es der rechte oder der linke von uns aus gesehen?,3
1302,UAV,ist das welcher Hochofen ist es der rechte oder der linke von uns aus gesehen?,der eine ist nur das Gerüst und der andere ist voll ich meine den vollen,2
1303,TL,der eine ist nur das Gerüst und der andere ist voll ich meine den vollen,ist das der der von dir weiter entfernt ist?,3
1304,UAV,ist das der der von dir weiter entfernt ist?,ja das ist richtig,7
1305,TL,ja das ist richtig,hab ich verstanden,2
1306,TL,hab ich verstanden,neuer Auftrag ist: Akku tauschen damit die Drohne wieder fliegen kann,1
1307,UAV,neuer Auftrag ist: Akku tauschen damit die Drohne wieder fliegen kann,ja das habe ich verstanden,7
1308,UGV-1,ja das habe ich verstanden,der Teamleader von Operator 1 kommen,4
1309,TL,der Teamleader von Operator 1 kommen,ich höre,5
1310,UGV-1,ich höre,ja Frage: soll ich nach weiteren Personen suchen?,3
1311,TL,ja Frage: soll ich nach weiteren Personen suchen?,ja klar,7
1312,TL,ja klar,einen Augenblick ich melde mich gleich,6
1313,TL,einen Augenblick ich melde mich gleich,erst muss der Angriffstrupp da gewesen sein,2
1314,UGV-1,erst muss der Angriffstrupp da gewesen sein,ja verstanden,2
1315,UAV,ja verstanden,Benno für Lena,4
1316,UAV,Benno für Lena,wir sind jetzt wieder startklar,2
1317,TL,wir sind jetzt wieder startklar,Lena sag nochmal die letzte Meldung hab ich nicht mitgekriegt,3
1318,UAV,Lena sag nochmal die letzte Meldung hab ich nicht mitgekriegt,wir sind jetzt wieder startklar,2
1319,UAV,wir sind jetzt wieder startklar,neuer Akku ist bereit,2
1320,TL,neuer Akku ist bereit,ja,2
1321,TL,ja,ich melde mich sofort,2
1322,TL,ich melde mich sofort,Operator 1 für Teamleader kommen,4
1323,UGV-1,Operator 1 für Teamleader kommen,hier Operator 1,5
1324,TL,hier Operator 1,der Raum ist vollständig abgesucht?,3
1325,UGV-1,der Raum ist vollständig abgesucht?,bis zum Opfer auf jeden Fall,7
1326,TL,bis zum Opfer auf jeden Fall,gibt es noch mehr Raum der noch nicht abgesucht ist?,3
1327,UGV-1,gibt es noch mehr Raum der noch nicht abgesucht ist?,ja,7
1328,UGV-1,ja,der Bereich hinter dem Pfeiler also hinter dem Teil wo die Person war,2
1329,TL,der Bereich hinter dem Pfeiler also hinter dem Teil wo die Person war,jo,2
1330,TL,jo,dann bitte weiter suchen,1
1331,UGV-1,dann bitte weiter suchen,ja ist verstanden,7
1332,TL,ja ist verstanden,Operator 2 für Teamleader kommen,4
1333,TL,Operator 2 für Teamleader kommen,Operator 2 für Teamleader kommen,4
1334,UGV-2,Operator 2 für Teamleader kommen,ja hört,5
1335,TL,ja hört,wo bist du jetzt? Standort,3
1336,TL,wo bist du jetzt? Standort,mach mal Fotos auch,1
1337,TL,mach mal Fotos auch,wenn du was findest dass man den Weg nachvollziehen kann,2
1338,UGV-2,wenn du was findest dass man den Weg nachvollziehen kann,ja mach ich,7
1339,UGV-2,ja mach ich,ich bin gerade dabei einfach schon mal Richtung den Weg zu kommen wo der Operator 1 lang gefahren ist,2
1340,TL,ich bin gerade dabei einfach schon mal Richtung den Weg zu kommen wo der Operator 1 lang gefahren ist,ja,2
1341,TL,ja,dein Auftrag ist an diesem Raum vorbei wo der Operator 1 drin ist und da ab da weiter zu suchen nach Menschen,1
1342,UGV-2,dein Auftrag ist an diesem Raum vorbei wo der Operator 1 drin ist und da ab da weiter zu suchen nach Menschen,ja,7
1343,UGV-2,ja,und das Fass hast du gesagt da soll ich dran vorbei fahren ne?,3
1344,TL,und das Fass hast du gesagt da soll ich dran vorbei fahren ne?,ja korrekt,7
1345,TL,ja korrekt,das Fass das steht dort irgendwo das war nur zur Orientierung,2
1346,TL,das Fass das steht dort irgendwo das war nur zur Orientierung,aber mach mir mal ein Foto von dem Fass,1
1347,UGV-2,aber mach mir mal ein Foto von dem Fass,ja mache ich,7
1348,TL,ja mache ich,Lena für Benno kommen,4
1349,UAV,Lena für Benno kommen,Lena hört,5
1350,TL,Lena hört,Lena du hast alle Fotos jetzt von einer Stelle aus gemacht,2
1351,TL,Lena du hast alle Fotos jetzt von einer Stelle aus gemacht,ich möchte mal dass du mit der Drohne jetzt weiter fliegst zum anderen Hochofen quasi von der anderen Seite der Einsatzstelle aus Fotos machst,1
1352,TL,ich möchte mal dass du mit der Drohne jetzt weiter fliegst zum anderen Hochofen quasi von der anderen Seite der Einsatzstelle aus Fotos machst,mit der - mit der Drohne,6
1353,TL,mit der - mit der Drohne,und guckst ob du von dort aus noch Personen erkennen kannst,1
1354,UAV,und guckst ob du von dort aus noch Personen erkennen kannst,das habe ich verstanden,7
1355,TL,das habe ich verstanden,Operator 2 wie ist dein Standort?,3
1356,UGV-2,Operator 2 wie ist dein Standort?,wir haben gerade ein kleines technisches Problem,2
1357,UGV-2,wir haben gerade ein kleines technisches Problem,ich melde mich gleich,2
1358,TL,ich melde mich gleich,verstanden,2
1359,UAV,verstanden,Benno für Lena,4
1360,UAV,Benno für Lena,Benno für Lena,4
1361,TL,Benno für Lena,ich höre,5
1362,UAV,ich höre,ich hab dir gerade ein Übersichtsbild geschickt da erkennt man den gefüllten - also den großen Hochofen sag mir wo du hinmöchtest,2
1363,TL,ich hab dir gerade ein Übersichtsbild geschickt da erkennt man den gefüllten - also den großen Hochofen sag mir wo du hinmöchtest,dass du dieses Bild nochmal machst aber reinzoomst,1
1364,UAV,dass du dieses Bild nochmal machst aber reinzoomst,wo soll ich reinzoomen in den - eher in den Hochofen oder genau in die Mitte?,3
1365,TL,wo soll ich reinzoomen in den - eher in den Hochofen oder genau in die Mitte?,das gleiche Bild was du jetzt gemacht hast da in die Mitte reinzoomen da wo die Rauchentwicklung ist,2
1366,UAV,das gleiche Bild was du jetzt gemacht hast da in die Mitte reinzoomen da wo die Rauchentwicklung ist,das habe ich verstanden,2
1367,TL,das habe ich verstanden,Operator 1 und 2 für Teamleader kommen,4
1368,UGV-1,Operator 1 und 2 für Teamleader kommen,hier Operator 1,5
1369,TL,hier Operator 1,wer von euch beiden hat 'n Foto gemacht auf der Treppe?,3
1370,UGV-1,wer von euch beiden hat 'n Foto gemacht auf der Treppe?,ja das habe ich gemacht,2
1371,UAV,ja das habe ich gemacht,Benno für Lena,4
1372,TL,Benno für Lena,ich höre,5
1373,UAV,ich höre,ich hab dir nochmal ein Bild ein herangezoomtes Bild geschickt wo der Qualm besser zu sehen ist aber keine Personen gefunden von dieser Position aus,2
1374,TL,ich hab dir nochmal ein Bild ein herangezoomtes Bild geschickt wo der Qualm besser zu sehen ist aber keine Personen gefunden von dieser Position aus,verstanden,2
1375,TL,verstanden,Lena dann flieg mal mit deinem Fluggerät da weiter ja weiter nach rechts würde ich jetzt erst mal sagen was immer auch rechts sein mag so wie du jetzt guckst quasi in deiner Position in Richtung deiner Position,1
1376,TL,Lena dann flieg mal mit deinem Fluggerät da weiter ja weiter nach rechts würde ich jetzt erst mal sagen was immer auch rechts sein mag so wie du jetzt guckst quasi in deiner Position in Richtung deiner Position,Lena für Benno?,4
1377,UAV,Lena für Benno?,Lena hört,5
1378,TL,Lena hört,flieg mal mit der Drohne genau in die andere Richtung,1
1379,TL,flieg mal mit der Drohne genau in die andere Richtung,ich seh dich auf dem Bildschirm,2
1380,UAV,ich seh dich auf dem Bildschirm,wir müssen gerade den Akku tauschen,2
1381,UAV,wir müssen gerade den Akku tauschen,ich schick dir jetzt noch mal ein Bild von weit oben rechts auf dem Bild was nicht mehr zu sehen ist sind diese drei klein' Hochöfen und links ist der ganz große gefüllte Hochofen,2
1382,UAV,ich schick dir jetzt noch mal ein Bild von weit oben rechts auf dem Bild was nicht mehr zu sehen ist sind diese drei klein' Hochöfen und links ist der ganz große gefüllte Hochofen,genau in der Mitte davon also bei den grünen da kommt der Qualm her,2
1383,TL,genau in der Mitte davon also bei den grünen da kommt der Qualm her,verstanden,2
1384,UGV-1,verstanden,der Teamleader von Operator 1 kommen,4
1385,TL,der Teamleader von Operator 1 kommen,höre,5
1386,UGV-1,höre,ja ich hab den ersten Raum weitestgehend abgesucht gerade so ein bisschen technische Schwierigkeiten,2
1387,UGV-1,ja ich hab den ersten Raum weitestgehend abgesucht gerade so ein bisschen technische Schwierigkeiten,geht's einmal die Treppe noch weiter hoch oder soll ich in der Ebene bleiben und nach weiteren Räumen suchen?,3
1388,TL,geht's einmal die Treppe noch weiter hoch oder soll ich in der Ebene bleiben und nach weiteren Räumen suchen?,ich melde mich sofort,2
1389,UGV-1,ich melde mich sofort,ja verstanden,2
1390,UAV,ja verstanden,Benno für Lena,4
1391,TL,Benno für Lena,ich höre,5
1392,UAV,ich höre,kannst du jetzt nochmal genau beschreiben wo ich hinfliegen sollte?,3
1393,TL,kannst du jetzt nochmal genau beschreiben wo ich hinfliegen sollte?,ja ich melde mich gleich,2
1394,TL,ja ich melde mich gleich,Operator 1 für Teamleader kommen,4
1395,TL,Operator 1 für Teamleader kommen,Operator 1 für Teamleader kommen,4
1396,TL,Operator 1 für Teamleader kommen,Operator 2 für Teamleader kommen,4
1397,UGV-2,Operator 2 für Teamleader kommen,hört,5
1398,TL,hört,was machen die technischen Probleme wieder einsatzbereit?,3
1399,UGV-2,was machen die technischen Probleme wieder einsatzbereit?,negativ,0
1400,TL,negativ,verstanden,2
1401,UGV-2,verstanden,wir stehen in der Nähe des grünen Fasses,2
1402,UGV-2,wir stehen in der Nähe des grünen Fasses,also ist das grüne Fass kann ich durch die Kamera sehen aber ich kann ihn nicht verfahren,2
1403,UGV-2,also ist das grüne Fass kann ich durch die Kamera sehen aber ich kann ihn nicht verfahren,das Radar scheint irgendwie nicht richtig zu funktionieren,2
1404,UGV-2,das Radar scheint irgendwie nicht richtig zu funktionieren,nicht ge- richtig,6
1405,TL,nicht ge- richtig,kannst du dich denn noch bewegen?,3
1406,UGV-2,kannst du dich denn noch bewegen?,ne ich kann hier nichts machen,0
1407,UGV-2,ne ich kann hier nichts machen,es sind ja mit drei vier Technikern die ganze Zeit am PC zugange,2
1408,TL,es sind ja mit drei vier Technikern die ganze Zeit am PC zugange,alles klar,2
1409,TL,alles klar,Foto machen geht auch nicht?,3
1410,UGV-2,Foto machen geht auch nicht?,ne,0
1411,UGV-2,ne,ich mache hier gar nichts gerade am Rechner,2
1412,TL,ich mache hier gar nichts gerade am Rechner,alles klar,2
1413,UGV-2,alles klar,Teamleader von Operator 2 kommen,4
1414,TL,Teamleader von Operator 2 kommen,ich höre,5
1415,UGV-2,ich höre,ja ich gucke mal dass ich dir jetzt ein Foto schicke,2
1416,UGV-2,ja ich gucke mal dass ich dir jetzt ein Foto schicke,scheint weiter zu gehen bei uns,2
1417,TL,scheint weiter zu gehen bei uns,ja verstanden,2
1418,TL,ja verstanden,Lena für Benno,4
1419,UAV,Lena für Benno,Lena hört,5
1420,TL,Lena hört,wenn du jetzt startest den Hochofen der von euch weiter weg ist - von dort aus hätte ich gerne Bilder aus der Mitte zwischen den Hochöfen,1
1421,UAV,wenn du jetzt startest den Hochofen der von euch weiter weg ist - von dort aus hätte ich gerne Bilder aus der Mitte zwischen den Hochöfen,ja das habe ich verstanden,7
1422,TL,ja das habe ich verstanden,immer noch Menschen suchen ne,1
1423,UAV,immer noch Menschen suchen ne,ja das habe ich auch verstanden,7
1424,UGV-2,ja das habe ich auch verstanden,ja Benno für den Operator 2 kommen,4
1425,TL,ja Benno für den Operator 2 kommen,ich höre,5
1426,UGV-2,ich höre,ja hier steht wieder alles,2
1427,TL,ja hier steht wieder alles,wo ist denn deine Position jetzt?,3
1428,UGV-2,wo ist denn deine Position jetzt?,immer noch in der Nähe des grünen Fasses,2
1429,UGV-2,immer noch in der Nähe des grünen Fasses,aber hier geht im Moment nichts,2
1430,TL,aber hier geht im Moment nichts,alles klar,2
1431,TL,alles klar,Lena für Benno,4
1432,UAV,Lena für Benno,Lena hört,5
1433,TL,Lena hört,zwischen den Hochöfen da steht irgendwo ein grünes Fass und da kommt die Rauchentwicklung her,2
1434,TL,zwischen den Hochöfen da steht irgendwo ein grünes Fass und da kommt die Rauchentwicklung her,ich hab im Moment keinen Roboter einsatzbereit,2
1435,TL,ich hab im Moment keinen Roboter einsatzbereit,kannst du gucken ob du dieses Fass findest und entsprechende Bilder machst?,1
1436,UAV,kannst du gucken ob du dieses Fass findest und entsprechende Bilder machst?,ja das habe ich verstanden,7
1437,UAV,ja das habe ich verstanden,das hab ich auch verstanden,7
1438,UGV-2,das hab ich auch verstanden,so der Benno für Operator 2 kommen,4
1439,TL,so der Benno für Operator 2 kommen,ich höre,5
1440,UGV-2,ich höre,ja es geht weiter,2
1441,UGV-2,ja es geht weiter,ich habe dir ein Foto geschickt von dem grünen Fass und wo ich mich jetzt gerade befinde,2
1442,TL,ich habe dir ein Foto geschickt von dem grünen Fass und wo ich mich jetzt gerade befinde,ja bleib mal da wo du jetzt bist,1
1443,TL,ja bleib mal da wo du jetzt bist,dieses grüne Fass - da ist der Rauch korrekt?,3
1444,UGV-2,dieses grüne Fass - da ist der Rauch korrekt?,ja ich weiß,7
1445,UGV-2,ja ich weiß,ich seh den Rauch ab und zu,2
1446,UGV-2,ich seh den Rauch ab und zu,soll ich in die Richtung fahren?,3
1447,TL,soll ich in die Richtung fahren?,fahr zu dem grünen Fass,7
1448,TL,fahr zu dem grünen Fass,und erkunde um dieses grüne Fass herum warum es da raucht,1
1449,UGV-2,und erkunde um dieses grüne Fass herum warum es da raucht,ja verstanden,7
1450,TL,ja verstanden,Operator 2 für Teamleader,4
1451,UGV-2,Operator 2 für Teamleader,melde mich sofort,6
1452,TL,melde mich sofort,so der Benno an alle,4
1453,TL,so der Benno an alle,Übungsende,2
1454,TL,Übungsende,die Roboter sollen alle zurückfahren und dann treffen wir uns hier,1
1455,TL,die Roboter sollen alle zurückfahren und dann treffen wir uns hier,UGV 1 von Teamleader,4
1456,UGV-1,UGV 1 von Teamleader,hier UGV 1 kommen,5
1457,TL,hier UGV 1 kommen,du bist soweit?,3
1458,UGV-1,du bist soweit?,ja natürlich,7
1459,TL,ja natürlich,UGV 2 von Teamleader,4
1460,UGV-2,UGV 2 von Teamleader,hier UGV-,6
1461,UGV-2,hier UGV-,hier UGV 2,5
1462,TL,hier UGV 2,ihr seid auch soweit?,3
1463,UGV-2,ihr seid auch soweit?,sind bereit ja,7
1464,TL,sind bereit ja,verstanden,2
1465,TL,verstanden,UAV 1 von Teamleader,4
1466,UAV,UAV 1 von Teamleader,hier UAV 1 kommen,5
1467,TL,hier UAV 1 kommen,ihr seid auch soweit?,3
1468,UAV,ihr seid auch soweit?,bereit wenn Sie es sind,7
1469,TL,bereit wenn Sie es sind,verstanden,2
1470,TL,verstanden,der Einsatzauftrag kommt wunderbar,2
1471,MC,der Einsatzauftrag kommt wunderbar,Teamleader von Mission Commander kommen,4
1472,TL,Teamleader von Mission Commander kommen,Teamleader hört,5
1473,MC,Teamleader hört,wie besprochen Gebiet erkunden rund um die beiden Hochöfen,1
1474,MC,wie besprochen Gebiet erkunden rund um die beiden Hochöfen,vermutlich Explosion oder irgendwas mit Chemikalien,2
1475,MC,vermutlich Explosion oder irgendwas mit Chemikalien,wir wissen nicht ob es eine Leckage ist oder was Anderes,2
1476,MC,wir wissen nicht ob es eine Leckage ist oder was Anderes,Rauchentwicklung ist schon gemeldet worden,2
1477,MC,Rauchentwicklung ist schon gemeldet worden,möglicherweise sind dann auch Personen vermisst,2
1478,MC,möglicherweise sind dann auch Personen vermisst,also Personensuche voran- bringen,1
