id,speakers,isoda,tokens,tags
801,TL,Kontakt Bestätigung,hier Teamleader,5
802,MC,Einsatzbefehl,wenn Sie einsatzbereit sind lautet der Einsatzauftrag bitte geben Sie mir einen Gesamtüberblick aus der Luft,1
803,MC,Einsatzbefehl,suchen Sie nach möglichen Rauchentwicklungen,1
804,MC,Einsatzbefehl,konzentrieren Sie sich besonders auf den Bereich zwischen den beiden Hochöfen beziehungsweise am linken Hochofen,1
805,TL,Sonstiges,ja Einsatzauftrag verstanden,7
806,TL,Einsatzbefehl,Operator Boden 1 fahren Sie nach links,1
807,UGV-1,Kontakt Bestätigung,Operator Boden 1 hat gehört,2
808,UGV-1,Kontakt Bestätigung,ich fahre nach links,7
809,UGV-1,Information geben,sehe dort schon Rauch- entwicklung,2
810,TL,Einsatzbefehl,da ein Foto machen,1
811,TL,Einsatzbefehl,Operator Boden 2 ein Foto senden,1
812,UGV-2,Kontakt Bestätigung,hier ist Operator Boden 2,4
813,UGV-2,Information geben,wir können momentan keine Fotos machen,0
814,TL,Sonstiges,hier Teamleader verstanden,2
815,TL,Kontakt Bestätigung,UAV?,4
816,TL,Einsatzbefehl,bitte eine Gesamtübersicht von dem zentralen Gebäude,1
817,MC,Kontakt Anfrage,Teamleader von Mission Commander,4
818,TL,Kontakt Bestätigung,Teamleader hört,5
819,MC,Information geben,zu Ihrer Information es werden zwei vermisste Personen gemeldet,2
820,TL,Sonstiges,zwei vermisste Personen verstanden,2
821,TL,Kontakt Bestätigung,Operator Boden 1,4
822,TL,Information geben,das Bild ist noch nicht angekommen,2
823,UGV-1,Information nachfragen,Teamleader hast du jetzt ein Bild?,3
824,TL,Absage,negativ,0
825,UGV-1,Zusage,ja es klappt irgendwie nicht,2
826,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
827,TL,Kontakt Bestätigung,Teamleader hört,5
828,MC,Information geben,ich hab auf meinem Bildschirm ein Bild der UAV,2
829,MC,Information nachfragen,können Sie das Bild interpretieren?,3
830,TL,Information geben,das Bild habe ich auch ich versuch's gerade größer zu machen,2
831,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
832,TL,Kontakt Bestätigung,Teamleader hört,5
833,MC,Information geben,einer der Arbeiter hat zuletzt auf einem höheren Level der Anlage gearbeitet im Bereich des linken Hochofens ungefähr in 50 Meter Höhe,2
834,TL,Sonstiges,hier Teamleader verstanden,2
835,TL,Kontakt Anfrage,UAV-Operator für Teamleader kommen,4
836,UAV,Kontakt Anfrage,UAV-Operator ja?,5
837,TL,Einsatzbefehl,fliegen Sie mit der Drohne über den linken Hochofen oberste Höhe,1
838,TL,Einsatzbefehl,und dann ein Foto senden,1
839,UAV,Sonstiges,okay,7
840,TL,Kontakt Bestätigung,Operator Boden 2,4
841,TL,Einsatzbefehl,können Sie ein Bild senden?,3
842,UGV-2,Kontakt Bestätigung,hier Operator Boden 2,5
843,UGV-2,Information geben,momentan kann ich keine Bilder senden,0
844,MC,Kontakt Anfrage,Teamleader von Mission Commander,4
845,TL,Kontakt Bestätigung,hier Teamleader,5
846,MC,Information geben,auf einem der Fotos sind Rauchentwicklungen zu erkennen,2
847,MC,Information nachfragen,wie ist der Status Ihrer Bodenroboter beziehungsweise der Standort?,3
848,MC,Information nachfragen,ist es möglich die Quelle der Rauchentwicklung mit dem Bodenroboter zu finden?,3
849,UGV-1,Kontakt Anfrage,Teamleader zu Bodenoperator 1 kommen,4
850,TL,Kontakt Bestätigung,Bodenoperator 1 sprechen,5
851,UGV-1,Einsatzbefehl,Leckage entdeckt über Bodenroboter,2
852,TL,Sonstiges,sehr gut,2
853,TL,Einsatzbefehl,einmal ein Foto machen,1
854,UGV-1,Zusage,ich versuch' das mal,7
855,UAV,Kontakt Anfrage,UAV Operator,4
856,UAV,Information geben,wir haben uns den Hochofen jetzt von oben angeguckt es ist nirgendwo ein Opfer zu sehen,2
857,TL,Information geben,ist von oben Verrauchung zu sehen?,3
858,UAV,Kontakt Bestätigung,ja,7
859,TL,Einsatzbefehl,dann bitte einmal ein Foto davon und wieder landen,1
860,UAV,Sonstiges,okay,7
861,TL,Kontakt Anfrage,Mission Commander für Teamleader,4
862,MC,Kontakt Bestätigung,Mission Commander hört,5
863,TL,Information geben,der Operator Boden 1 hat eine Leckage entdeckt,2
864,TL,Information geben,das ist auf der ersten Etage und man könnte von hier unten einen Löscheingriff aufbauen und das Ganze eingrenzen,2
865,MC,Kontakt Bestätigung,ja,2
866,MC,Einsatzbefehl,dann überstelle ich Ihnen einen Trupp der sich auf der entgegengesetzten Seite auf der Brücke bereitet,2
867,MC,Einsatzbefehl,bitte über Kanal 53WU ansprechen,1
868,TL,Sonstiges,ja verstanden,7
869,UGV-1,Kontakt Anfrage,Teamleader von Bodenoperator 1,4
870,TL,Kontakt Bestätigung,hier Teamleader,5
871,UGV-1,Information geben,'s ist technisch nicht möglich Bilder zu senden,2
872,TL,Sonstiges,ja verstanden,2
873,MC,Kontakt Anfrage,Teamleader von Mission Commander kommen,4
874,TL,Kontakt Anfrage,Mission Commander für Teamleader,4
875,MC,Kontakt Bestätigung,Mission Commander hört,5
876,TL,Information nachfragen,Sie hatten was?,3
877,MC,Kontakt Bestätigung,ja,7
878,MC,Information nachfragen,gibt es eine Information über die Substanz die dort austritt?,3
879,TL,Kontakt Anfrage,ja von Operator Boden 1,7
880,TL,Kontakt Anfrage,Operator Boden 1 für Teamleader kommen,4
881,UGV-1,Kontakt Bestätigung,Operator Boden 1 hört,5
882,TL,Information nachfragen,was hatten Sie?,3
883,UGV-1,Information geben,die ausströmende Flüssigkeit ist ein dichter weißlicher Nebel Flüssigkeit unbekannt,2
884,TL,Sonstiges,alles klar,2
885,TL,Information nachfragen,ist es möglich ein Foto von dem Fass zu machen was daneben steht?,3
886,UGV-1,Information geben,weiterhin technisch nicht möglich Fotos zu senden,0
887,TL,Sonstiges,gut,2
888,TL,Kontakt Anfrage,Mission Commander für Teamleader kommen,4
889,MC,Kontakt Bestätigung,Mission Commander hört,5
890,TL,Information geben,ein Trupp ist in der Nähe dort wo auch der Operator Boden 1 seinen Roboter hat und hat dort ein Fass entdeckt in Grün und ein weiteres Fass mit einer Plakette drauf - ätzend - in Gelb und braucht weitere Unterstützung,2
891,TL,Information geben,ich fordere weitere Kräfte an,2
892,MC,Sonstiges,okay dann ändern wir Einsatzstichwort auf technische Hilfe ABC,2
893,MC,Einsatzbefehl,versuchen Sie mit hilfe der Bodenroboter die Substanzen herauszufinden,1
894,MC,Information nachfragen,oder ob es möglich ist die Leckage abzudichten,1
895,TL,Sonstiges,ja verstanden,7
896,TL,Kontakt Anfrage,Mission Commander für Teamleader,4
897,MC,Kontakt Bestätigung,Mission Commander hört,5
898,TL,Information geben,draußen steht ein Löschzug mit Blaulicht,2
899,TL,Zusage,soll ich die mal ansprechen? nicht dass sie wegen dem Rauch hier stehen,3
900,MC,Zusage,ja auf jeden Fall mach das mal,7
901,TL,Sonstiges,alles klar,2
902,TL,Information geben,es kommt jetzt hier ein Gruppenführer,2
903,TL,Zusage,Übungende,1
904,TL,Zusage,für alle: Übungende,1
905,UAV,Sonstiges,okay,7
906,UGV-2,Sonstiges,okay,7
907,TL,Kontakt Anfrage,Bodenoperator für Teamleader kommen,4
908,TL,Kontakt Anfrage,Bodenoperator 1 für Teamleader,4
909,UGV-1,Kontakt Bestätigung,Bodenoperator 1 hört,5
910,TL,Information geben,wir können jetzt gleich starten die Drohne ist bereit,2
911,TL,Kontakt Anfrage,Bodenoperator 2 für Teamleader kommen,4
912,TL,Kontakt Anfrage,Bodenoperator 2 für Teamleader kommen,4
913,UGV-2,Kontakt Bestätigung,hier Bodenoperator 2,5
914,TL,Sonstiges,Verständigung einwandfrei,3
915,UGV-2,Sonstiges,ja ich verstehe Sie,7
916,TL,Sonstiges,gut,2
917,TL,Kontakt Anfrage,Drohnenoperator für Teamleader kommen,4
918,TL,Kontakt Anfrage,Drohnenoperator für Teamleader kommen,4
919,TL,Kontakt Anfrage,Drohnenoperator für Team-Operator kommen,4
920,UGV-2,Kontakt Bestätigung,hier Robot-Operator 2,4
921,TL,Information_nachfragen,Verständigung war einwandfrei?,3
922,UGV-2,Zusage,ja ich verstehe Sie einwandfrei,7
923,UAV,Kontakt Anfrage,UAV-Operator,5
924,UAV,Information geben,wir sind einsatzbereit,2
925,UAV,Kontakt Anfrage,UAV operator für team leader,4
926,UAV,Einsatzbefehl,sollen wir starten mit der UAV und einen Überblick verschaffen?,3
927,TL,Sonstiges,ja,7
928,TL,Einsatzbefehl,Drohnenoperator starten Sie und machen Sie sich einen Überblick über die Lage,1
929,TL,Zusage,über- machen,6
930,TL,Information geben,wir vermissen Personen und eine unklare Sache in der ganzen Area,2
931,UAV,Sonstiges,okay,7
932,TL,Kontakt Anfrage,Bodenoperator für Teamleader kommen,4
933,UGV-2,Kontakt Bestätigung,hier Bodenoperator 2,5
934,TL,Einsatzbefehl,starten Sie Ihre Roboter zur Erkundung der Area,1
935,TL,Information geben,ist eine unklare Sache wir wissen noch nicht genau was da passiert ist,2
936,TL,Information geben,Personen sind vermisst,2
937,UGV-2,Einsatzbefehl,starten die Suche mit Roboter 2 jetzt,7
938,TL,Kontakt Anfrage,Bodenoperator 1 für Teamleader kommen,4
939,UGV-1,Information geben,Bodenoperator 1 hat mitgehört und startet ebenfalls,5
940,UAV,Kontakt Anfrage,UAV-Operator an Teamleader,4
941,UAV,Information geben,ich habe ein Bild veröffentlicht,2
942,UAV,Information geben,was zeigte dass keine Rauchentwicklung gibt über der Anlage,2
943,TL,Kontakt Bestätigung,ja Teamleader hat mitgehört,2
944,TL,Information geben,aber so leichte Rauchentwicklung ist jetzt zu sehen,2
945,TL,Einsatzbefehl,mehr Richtung Hochofen einmal schauen,1
946,UAV,Sonstiges,okay,7
947,UGV-1,Kontakt Anfrage,Teamleader von Bodenoperator 1,4
948,TL,Kontakt Bestätigung,Teamleader hört,5
949,UGV-1,Information geben,ich bin am Ende der ersten Rampe hab in beiden Richtungen geguckt,2
950,UGV-1,Zusage,in keiner Richtung was Auffälliges,2
951,UGV-1,Sonstiges,soll ich rechts oder links rum?,3
952,TL,Information geben,Position beibehalten,2
953,TL,Einsatzbefehl,wir versuchen weitere Informationen zu bekommen,2
954,TL,Kontakt Anfrage,Drohnenoperator für Teamleader kommen,4
955,UAV,Kontakt Anfrage,hier Drohnenoperator,5
956,TL,Information nachfragen,ist bei euch was zu sehen?,3
957,UAV,Information geben,wir mussten gerade die Applikation nochmal neu starten,2
958,UAV,Information geben,ich hab Bilder freigegeben wir versuchen sie gerade sichtbar zu machen,2
959,TL,Information geben,auf meinem Tablet ist nix zu sehen,2
960,UAV,Sonstiges,okay,2
961,UAV,Zusage,ein paar Sekunden noch,2
962,TL,Kontakt Anfrage,Bodenoperator 1 für Teamleader kommen,4
963,UGV-1,Kontakt Bestätigung,hier Bodenoperator 1,5
964,TL,Information geben,da ich eine leichte Rauchentwicklung auf der linken Seite sehe bitte den Weg zur linken Seite fortsetzen,1
965,UGV-1,Sonstiges,nach links verstanden,7
966,TL,Kontakt Anfrage,Bodenoperator 1 für Teamleader kommen,4
967,UGV-1,Kontakt Bestätigung,hier Bodenoperator 1,5
968,TL,Information nachfragen,fährst du die falsche Richtung?,3
969,UGV-1,Kontakt Anfrage,Teamleader für Bodenoperator 1,4
970,TL,Kontakt Bestätigung,Teamleader hört,5
971,UGV-1,Information geben,voraus ist 'ne Treppe und da drüber relativ dichter Rauch zu sehen,2
972,UGV-1,Einsatzbefehl,soll ich ein Foto machen?,2
973,TL,Zusage,ja wenn's geht,7
974,TL,Einsatzbefehl,näher ranfahren zum Lokalisieren wo dieser Rauch entsteht und Foto machen und mir senden,1
975,TL,Information geben,aber ich kann immer noch nichts empfangen,2
976,UAV,Kontakt Anfrage,Teamleader für UAV bereit da?,4
977,TL,Kontakt Bestätigung,Teamleader hört,5
978,TL,Information geben,die Bilder habe ich jetzt bekommen,2
979,UAV,Sonstiges,alles klar,2
980,UAV,Information geben,man kann von oben sehen dass der Rauch aus dem Gebäude austritt,2
981,TL,Zusage,das habe ich auch gesehen,2
982,TL,Information geben,ich schick da erst mal ein Trupp ein,2
983,UGV-2,Kontakt Anfrage,Teamleader für Robot-Operator 2,4
984,TL,Kontakt Bestätigung,ja Teamleader hört,5
985,UGV-2,Information geben,wir haben leider Probleme mit dem Joystick und sitzen noch an der Startposition fest,2
986,UGV-2,Zusage,wir versuchen das jetzt zu beheben,2
987,TL,Einsatzbefehl,wenn ihr ja weiter einsatzbereit seid dann bitte melden,1
988,UGV-2,Kontakt Bestätigung,machen wir,7
989,UGV-1,Kontakt Anfrage,Teamleader für Bodenoperator 1,4
990,UGV-1,Kontakt Anfrage,Teamleader für Bodenoperator 1,4
991,TL,Kontakt Bestätigung,Teamleader hört,5
992,UGV-1,Information geben,vor mir ist ein grünes Fass und da obendrauf steht noch ein gelbes und ich habe Personen in dem Rauch gesehen,2
993,UGV-1,Information geben,der Rauch kommt von rechts,2
994,TL,Sonstiges,verstanden,2
995,UGV-1,Information geben,ich versuche von dem Fass ein gutes Foto zu machen,2
996,TL,Sonstiges,okay,7
997,UGV-1,Kontakt Anfrage,Teamleader für Bodenroboter 1,4
998,TL,Kontakt Bestätigung,Teamleader hört,5
999,UGV-1,Information geben,Bodenoperator 1 hat die Leckage gefunden an einem Stromerzeuger,2
1000,UGV-1,Information geben,Foto wurde gesendet,2
1001,UGV-1,Information nachfragen,hast du denn es empfangen?,3
1002,UGV-1,Kontakt Anfrage,Teamleader für Bodenoperator 1,4
1003,TL,Kontakt Bestätigung,Teamleader hört,5
1004,UGV-1,Information geben,eine Person gesichtet,2
1005,UGV-1,Information geben,ist in der Nähe von dem Fass und von der Leckage wo der Rauch austritt,2
1006,UGV-1,Information geben,Foto habe ich dir geschickt,2
1007,TL,Kontakt Bestätigung,versta- Mission,6
1008,TL,Kontakt Anfrage,Mission Operator für Teamleader kommen,4
1009,UAV,Kontakt Anfrage,Teamleader für UAV-Operator,4
1010,UAV,Kontakt Anfrage,Teamleader für UAV-Operator,4
1011,TL,Kontakt Bestätigung,Teamleiter kann hören,5
1012,UAV,Information geben,wir haben ein Opfer gefunden liegt auf liegt auf der hinteren Seite des Hochofens angelehnt scheint bewusstlos zu sein,2
1013,TL,Zusage,ja ich schick mal ein Trupp hin,2
1014,UAV,Information geben,da ist keine Rauchentwicklung,2
1015,TL,Zusage,okay ich schick ein Trupp hin,2
1016,UGV-1,Kontakt Anfrage,Teamleader für Bodenoperator 1,4
1017,UGV-1,Sonstiges,hab Sie nicht verstanden,2
1018,TL,Information geben,ich kann nur noch kommunizieren ich kann keine Bilder empfangen oder auch senden,2
1019,TL,Kontakt Bestätigung,kommen,4
1020,UGV-2,Kontakt Anfrage,Teamleader für Bodenoperator 2 kommen,4
1021,TL,Kontakt Bestätigung,Teamleader hört,5
1022,UGV-2,Information geben,wir haben das Problem behoben mit der Fernsteuerung und machen uns auf auf den Weg hinein,2
1023,TL,Information geben,wie gesagt ich kann keine Bilder empfangen,2
1024,UGV-1,Kontakt Anfrage,Teamleader für Bodenoperator 1,4
1025,TL,Kontakt Bestätigung,Teamleader hört,5
1026,UGV-1,Information geben,eine Person gesichtet ist auf der Ebene auf der auch die Leckage ist hinter dem ersten Hochofen,2
1027,UGV-1,Information geben,halb liegend,2
1028,TL,Sonstiges,verstanden,2
1029,TL,Kontakt Anfrage,UGV-1 von Teamleader Leiter,4
1030,TL,Kontakt Anfrage,UGV-1 von Teamleiter,4
1031,TL,Kontakt Bestätigung,Nicht gerade,6
1032,TL,Kontakt Anfrage,UGV-2 von Teamleiter,4
1033,UGV-2,Kontakt Bestätigung,UGV-2 hört,5
1034,TL,Information geben,Für Sie kurze Lageinformation es gab einen Unglücksfall in dem länglichen Graphecs Gebäude Luftbildaufnahmen sagen dass es unstabil und unsicher für Personen ist,2
1035,TL,Information geben,Unsere Aufgabe erstellen einer Karte des Gebäudes,2
1036,UGV-2,Sonstiges,Erstellen einer Lage einer Karte des länglichen Gebäudes verstanden,2
1037,TL,Information geben,Für Sie konkreter Auftrag Sie begeben sich zur nördlichen Gebäudekante und bewegen sich dann westwärts,1
1038,TL,Zusage,Das ist so korrekt,2
1039,TL,Kontakt Anfrage,UGV-1 von Teamleiter,4
1040,UAV,Kontakt Anfrage,Teamleader von UAV operator kommen,4
1041,TL,Kontakt Bestätigung,Teamleader,5
1042,UAV,Information geben,Ja die 3D Karte ist in Arbeit Dauer für das Modell circa halbe Stunde,2
1043,UAV,Kontakt Bestätigung,in der Ar- in Arbeit,6
1044,UAV,Information geben,komme wieder wenn Aufgabe beendet,2
1045,TL,Sonstiges,Das ist verstanden,7
1046,TL,Kontakt Anfrage,UGV-1 von Teamleiter,4
1047,UGV-1,Kontakt Bestätigung,Hier ist UGV-1,5
1048,TL,Information nachfragen,Frage Standort,3
1049,UGV-2,Kontakt Anfrage,Teamleiter von UGV-2,4
1050,TL,Kontakt Bestätigung,Teamleiter,5
1051,UGV-2,Information geben,Ich hab mal ein Foto gemacht,2
1052,UGV-2,Information geben,das ist die Wand meines Erachtens in nördlicher Feuerlöscheinrichtung und Lagerteile an den Wänden der Regalen,2
1053,TL,Information geben,Bis jetzt ist das Foto noch nicht angekommen,2
1054,TL,Information_nachfragen,haben Sie auf Teilen geklickt?,3
1055,TL,Kontakt Anfrage,UGV-1 von Teamleiter,4
1056,UGV-1,Kontakt Bestätigung,Hier ist UGV-1,5
1057,TL,Information nachfragen,Frage Ihr Standort immer noch mittig in der Halle oder inzwischen weiter in Richtung Westen,3
1058,UGV-1,Information geben,Ja ist mittig in der Halle,2
1059,UGV-1,Information geben,Ich habe hier eine Erkenntniss hier ist ein Feuerlöscher fehlt,2
1060,UGV-1,Kontakt Bestätigung,Bild kommt,2
1061,TL,Sonstiges,Das ist verstanden,7
1062,TL,Kontakt Anfrage,UGV-1 von Teamleiter,4
1063,UGV-1,Kontakt Bestätigung,Hier ist UGV-1,5
1064,TL,Einsatzbefehl,Teilen Sie mir bitte auch mal ein Foto in ihrer Fahrtrichtung,1
1065,UGV-1,Kontakt Bestätigung,Ja kommt,7
1066,TL,Kontakt Anfrage,UGV-2 von Teamleiter,4
1067,UGV-2,Sonstiges,Direction is correct,2
1068,TL,Kontakt Anfrage,UGV-1 von Teamleiter,4
1069,UGV-1,Kontakt Bestätigung,Hier ist UGV-1,5
1070,TL,Information nachfragen,Haben Sie das Foto bereits geteilt?,3
1071,UGV-1,Zusage,Bild müsste da sein ja,7
1072,TL,Zusage,Ja hier ist mal nichts,2
1073,TL,Zusage,dann liegt's an mir,2
1074,UGV-1,Zusage,Dann mag es so sein,2
1075,TL,Kontakt Anfrage,UGV-2 von Teamleiter,4
1076,UGV-2,Kontakt Bestätigung,Hier UGV-2,5
1077,TL,Information nachfragen,Haben Sie irgendwelche Anzeichen von Gebäudeschäden gefunden?,3
1078,UGV-2,Information geben,Bisschen rissige Säulen aber es wird halten Überdimensionierung,2
1079,TL,Sonstiges,Ja das ist verstanden,2
1080,TL,Kontakt Anfrage,UGV-1 von Teamleiter,4
1081,TL,Kontakt Anfrage,UAV operator von Teamleiter,4
1082,UAV,Kontakt Bestätigung,Hier UAV operator,5
1083,TL,Einsatzbefehl,Für sie Auftrag innerhalb des Gebäudes nach Hitze- und Rauchquellen suchen,1
1084,TL,Einsatzbefehl,Sollten dabei Verletzte oder chemische Substanzen gesichtet werden ebenfalls bitte melden und auf der Karte markieren,1
1085,UAV,Sonstiges,Ja zur Erkundung von Rauchquellen Personen,7
1086,UAV,Information geben,Vor zur Information und Protektion oberhalb,2
1087,TL,Sonstiges,Ja das ist verstanden,2
1088,TL,Information geben,Sie kommt sehr leise über Funk,2
1089,UAV,Sonstiges,Ja,2
1090,TL,Kontakt Bestätigung,Jetzt hör ich dich besser,2
1091,TL,Kontakt Anfrage,UGV-2 von Teamleiter,4
1092,UGV-2,Kontakt Bestätigung,Hier UGV-2,5
1093,TL,Einsatzbefehl,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,1
1094,TL,Einsatzbefehl,Und desweiteren erkunden Sie die südliche Gebäudewand von ihrem Standort aus in westlicher Richtung,1
1095,UGV-2,Einsatzbefehl,Südliche Gebäudewand in westlicher Richtung kontrollieren,7
1096,UGV-2,Sonstiges,Und alle 15 Minuten Gasdetektoren einschalten verstanden,7
1097,UGV-2,Information geben,Zur Info ich hab keinen Kontakt zu meinem Roboter,2
1098,TL,Sonstiges,Ja das ist erst mal verstanden,2
1099,UGV-1,Kontakt Bestätigung,Hier ist UGV-1,4
1100,TL,Einsatzbefehl,Sie suchen die nördliche Gebäudewand in westlicher Richtung ab,1
1101,TL,Information geben,In erster Linie suchen wir nach Verletzten,1
1102,TL,Einsatzbefehl,Aber auch Hitzequellen Rauchquellen oder chemische Substanzen melden und auf der Karte markieren,1
1103,UGV-1,Sonstiges,Gebäude nördliche Wand in westlicher Richtung absuchen nach Hitzequellen und vermissten Personen verstanden,7
1104,TL,Information geben,Ja ebenfalls auf Chemikalien achten Trader Fluorid und Trader Oxin müssten auch irgendwo sein,1
1105,UGV-1,Sonstiges,Ja das ist okay ist verstanden,7
1106,UAV,Kontakt Anfrage,Teamleader von UAV operator kommen,4
1107,TL,Kontakt Bestätigung,Teamleiter,5
1108,UAV,Information geben,Hier ist ein recht guter Überblick,2
1109,UAV,Kontakt Bestätigung,kommen,4
1110,UAV,Information nachfragen,von der Halle vielleicht hilft das zu,2
1111,TL,Sonstiges,Ich kann Sie nicht aufnehmen,2
1112,TL,Zusage,wiederholen,1
1113,UAV,Information geben,Ja ich hab dir ein Bild geteilt mit einem recht guten Überblick über die Gebäudestruktur und die Halle,2
1114,UAV,Zusage,vielleicht hilft es zu,2
1115,TL,Information geben,Ich gucke mir erst mal an,2
1116,TL,Information geben,Verbindung ist aber immer noch sehr schlecht,2
1117,UAV,Kontakt Anfrage,Teamleader von UAV operator kommen,4
1118,TL,Kontakt Bestätigung,Teamleader,5
1119,UAV,Information geben,Zur Information eine Person im oberen Gebäudeteil identifiziert und ein Chemikalienfass,2
1120,TL,Kontakt Anfrage,UAV operator von Teamleader,4
1121,UAV,Kontakt Bestätigung,UAV operator,5
1122,TL,Information nachfragen,Habt ihr den Standort geteilt?,3
1123,UAV,Information geben,Ich hab weiter,2
1124,TL,Kontakt Anfrage,UAV operator von Teamleader,4
1125,UAV,Kontakt Bestätigung,Hier UAV operator,5
1126,TL,Information nachfragen,Habt ihr neuen Status zum Standort der Person oder der Chemikalien?,3
1127,TL,Information geben,Ich krieg keinen Standort,2
1128,UAV,Information geben,Ja ich habe da ich keine GPS Daten,2
1129,UAV,Information geben,Muss ich kurz identifizieren wo ich bin ich versuche mich mal zu orientieren,2
1130,TL,Kontakt Anfrage,UGV-1 von Teamleader,4
1131,UGV-1,Information geben,Vom Startpunkt entfernt,2
1132,TL,Sonstiges,Na ja das ist verstanden,2
1133,TL,Information nachfragen,Sehen Sie den Victim der durch die Drohne eingegeben wurde?,3
1134,TL,Information geben,Auf eurem TDS müsste mittig der Halle eine Person eingetragen worden sein,2
1135,UGV-1,Information geben,Viel zu weit entfernt,2
1136,TL,Sonstiges,Ja das ist verstanden,2
1137,TL,Einsatzbefehl,Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel,1
1138,UGV-1,Information geben,Ja die nördliche Wand kann ich gar nicht erreichen,0
1139,UGV-1,Kontakt Bestätigung,ich kann höchstens den UGV-2 folgen,2
1140,TL,Information geben,Der UGV-2 geht zur südlichen Gebäudewand das ist Ihnen bekannt,2
1141,UGV-1,Zusage,Das ist mir bekannt,2
1142,UGV-1,Information geben,Aber die nördliche Wand besaß kein Zugang,2
1143,UGV-1,Information nachfragen,Kannst du uns zur nördlichen Gebäudewand?,3
1144,TL,Sonstiges,Das ist verstanden,2
1145,TL,Einsatzbefehl,dann folgen Sie den UGV-2,1
1146,UAV,Kontakt Anfrage,Teamleader von UAV operator kommen,4
1147,TL,Kontakt Bestätigung,Teamleader,5
1148,UAV,Information geben,Ja ich hab dir die vermutliche Position die mögliche Position vom Opfer und dem Chemikalienfass geschickt,2
1149,UAV,Information geben,Weiter kann ich die Aufschrift des Chemikalienfasses nicht identifizieren,2
1150,UAV,Information geben,da die verletzte Person im Weg sitzt,2
1151,UAV,Information geben,Über dem Zustand der Person keine weiteren Erkenntnisse zu bekommen,2
1152,TL,Kontakt Bestätigung,Sven kommen,4
1153,TL,Kontakt Anfrage,Lena für Benno kommen,4
1154,UGV-1,Kontakt Bestätigung,ja der Operator 1 hört,5
1155,UGV-2,Kontakt Bestätigung,der Operator 2 hört,5
1156,UAV,Kontakt Bestätigung,UAV Operator hört,5
1157,TL,Information geben,ja folgende Lage: im Bereich zwischen den Hochöfen hat es eine Explosion gegeben,2
1158,TL,Information geben,Ursache ist unbekannt Rauchentwicklung vermutlich auch Feuer mehrere vermisste Personen Anzahl der vermissten Personen ist ebenfalls unbekannt,2
1159,TL,Information geben,unsere Aufgabe ist es halt Menschenrettung,2
1160,TL,Information nachfragen,Frage zunächst wer hat den Roboter mit dem Arm?,3
1161,UGV-2,Kontakt Bestätigung,ja das ist der Sven Operator 2,2
1162,TL,Sonstiges,ja hab ich verstanden,2
1163,TL,Information geben,Sven Tom und Lena zur Kenntnis: der Angriffstrupp geht unter Atemschutz im Bereich zwischen den Hochöfen vor und erkundet zunächst,2
1164,UGV-1,Sonstiges,ja ist verstanden,2
1165,UGV-2,Sonstiges,ja Operator 2 hat verstanden,2
1166,UAV,Sonstiges,UAV Operator verstanden,2
1167,TL,Kontakt Anfrage,so UAV one über den Benno kommen,4
1168,UAV,Kontakt Bestätigung,UAV Operator hört,5
1169,TL,Sonstiges,ja ich hätte gerne dass du mit dem Vogel da einmal über die Hochöfen fliegst nen Rundflug machstguckst ob du da irgendwelche Personen entdecken kannst,1
1170,TL,Einsatzbefehl,von oben uns Fotos machst und guckst wo wir 'ne Rauchentwicklung haben und auch mit der Infrarot-Kamera,1
1171,UAV,Sonstiges,ja das habe ich verstanden,7
1172,TL,Kontakt Anfrage,Operator 2 für Benno kommen,4
1173,UGV-2,Kontakt Bestätigung,ja Operator 2 hört Benno,5
1174,TL,Information nachfragen,du hast den Roboter mit der Infrarot-Kamera ist das richtig?,3
1175,UGV-2,Information geben,negativ ich hab den Roboter mit dem Arm dort ist keine Infrarot-Kamera vorne,0
1176,TL,Sonstiges,verstanden,2
1177,TL,Kontakt Anfrage,Operator 1 für Benno kommen,4
1178,UGV-1,Kontakt Bestätigung,ja der Operator 1 hört,5
1179,TL,Information geben,Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung,1
1180,TL,Einsatzbefehl,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,1
1181,UGV-1,Einsatzbefehl,ja 50 meter geradeaus links rein und erkunde nach Menschen,7
1182,TL,Zusage,das ist korrekt,2
1183,TL,Kontakt Anfrage,Operator 1 für Benno,4
1184,UGV-1,Kontakt Bestätigung,hier der Operator 1,5
1185,TL,Einsatzbefehl,mach mal bitte an den relevanten Punkten Fotos dass wir den hinterher nachvollziehen können,1
1186,UGV-1,Sonstiges,ja ist verstanden ich mach hier Fotos,7
1187,UAV,Kontakt Anfrage,Benno für UAV Operator,4
1188,TL,Kontakt Bestätigung,Augenblick,6
1189,UGV-1,Kontakt Anfrage,der Teamleader von Operator 1 kommen,4
1190,TL,Kontakt Bestätigung,UAV 1 kommen,5
1191,UGV-1,Information geben,ja ich hab gerade ein Foto geschossen hier sind zwei Treppen auf der linken Seite allerdings kein Angriffstrupp,2
1192,UGV-1,Information geben,Rauchentwicklung weiter rechts,2
